name,price,price/kg
"Smuuti mango-kibuvitsa, PAI+, 280 ml",2.29,8.18
"Joogijogurt metsmaasika, TERE, 900 g",1.79,1.99
"Seakael punaseveini marinaadis, SELVER, kg",10.99,10.99
"Maasuitsu fileesink, MAKS&MOORITS, kg",11.59,11.59
"Sulatatud juust, HIIRTE JUUST, 200 g",1.49,7.45
"Lihaleib viilutatud, MAKS&MOORITS, 250 g",1.69,6.76
"Rulaad Nõo, NÕO, 135 g",1.39,10.3
"Kaerajook gluteenivaba UHT, VALIO ODDLYGOOD, 1 l",2.19,2.19
"Prügikott 9l, 310x380, MCLEAN, 50tk/rull",0.69,0.01
"Tarbatu toorsalaami, NÕO, 105 g",2.99,28.48
Mulin Rabarber 75 cl,5.49,7.32
"Pitsakate, NÕO, 300 g",2.89,9.63
"Poolsuitsuvorst Krakovi, NÕO, 270 g",2.99,11.07
"Prügikotid 18l, MCLEAN, 40 tk",1.29,0.03
"Suitsutatud Juustuvorst, NÕO, 170 g",2.09,12.29
"Türgi oad küüslauguga, SELVERI KÖÖK, 200g",1.39,6.95
"Mangomaius chia seemnetega Fitlap, SELVERI KÖÖK, 130g",1.69,13.0
"Lahustuv kohv 3in1 Sweet & Creamy kott, NESCAFE, 10x17g",2.49,14.65
"Dattel, 200 g",0.99,4.95
"Maitsesalaami, KARNI, 120 g",2.39,19.92
"Rummi lõhna-ja maitseaine, DR.OETKER, 30 ml",3.39,113.0
"Prügikotid sulguriga 35l, MCLEAN, 15 tk",1.39,0.09
"Karbonaad, KARNI, 120 g",1.99,16.58
"Proteiinirikas segu, PÄHKLINÄPP, 200 g",2.29,11.45
"Biolagunevad prügikotid, 20l, MCLEAN, 10 tk",1.69,0.17
"Vormid alumiiniumfooliumist 850ml, ELISE, 6 tk",1.99,0.33
"Imiku piimasegu 1 0+, NUPPI GOLD, 350 g",5.99,17.11
"Magusa Tšilli maitselised maisikrõpsud, CHEETOS, 165 g",1.99,12.06
"Kasukas, SELVERI KÖÖK, 440 g",3.19,7.25
"Šokolaadipallid Suffeli Puffi Snacks, FAZER, 180 g",3.19,17.72
"Kirsiõlu, SAKU, 500 ml",1.59,3.18
"Winter siider, SOMERSBY, 330 ml",1.49,4.52
"Kummikindad S, MCLEAN, 1 paar",0.69,0.69
"Ehe rabarberikook, SELVERI KÖÖK, 500 g",3.99,7.98
"Lõhnaküünal Vanilla & Toasted Coconut, AIR WICK, 1 tk",10.99,10.99
"Lõhnaküünal Peony & Anjou Pear, AIR WICK, 1 tk",10.99,10.99
"Lõhnaküünal Pomegranate & Bergamot, AIR WICK, 1 tk",10.99,10.99
"Värviline paber A4, BRADLEY, 12 värvi",3.19,3.19
"Soojapuhur, 2000W horisontaalne/vertikaalne, DAY, 1 tk",24.9,24.9
"Marineeritud tomat krehvtine, MÕISAPROUA, 500g",2.99,5.98
"Raseerija Venus Sensitive, GILLETTE, 6tk",8.49,1.42
"Õrrekanade munad, SELVER, 10tk",2.29,0.23
"Veiseklops vasardatud, RAKVERE LK, 400 g",11.99,29.97
"Õun Eesti (erinevad sordid), 1 kg",3.49,3.49
"Küpsetuskotid 35x43cm, SMILE, 5 tk",0.99,0.2
"Püsivärv 10-13 Arktiline Blond, SYOSS, 1 tk",7.49,7.49
"Seakoot kondita, SELVERI KÖÖK, 720 g",8.49,11.79
"Mozzarella Kirsid, PIIMAMEISTER OTTO, 125 g",1.99,15.92
"Tuunikala suured tükid õlis, KAPTEN GRANT, 185 g",2.49,13.46
Piccini Vermentino Toscana IGT 75 cl,9.99,13.32
"Lõhe lõik soolatud, KAPTEN GRANT, 170 g",6.99,41.12
"Plaaster Aloe Vera, MEDRULL, 20 tk",1.99,0.1
"Mustikas karbis, 125 g",1.79,14.32
"Pappjoogitops Festival, HUHTAMAKI, 10 tk",2.99,0.3
"Köögipuhastusvahend, MR.MUSCLE, 500 ml",2.09,4.18
"Pesukapslid Sensitive Skin Colour, NEUTRAL, 40 tk",14.99,0.37
"Säilituskarbid, SPINO, 5x1l",1.29,0.26
"Kaustik Valemivihik Matemaatika, REALISTER, 36 lehte",2.19,2.19
"Tuunikala tükid õlis tšilliga, KAPTEN GRANT, 185 g",2.49,13.46
"Lõhefilee portsionid, AVEKTRA, 250 g",7.99,31.96
"Suflee lõhefileest, AVEKTRA, 220 g",3.59,16.32
"Fanta apelsini, FANTA, 500 ml",1.09,2.18
"Lehtsalat potis, GRÜNE FEE, tk",1.59,1.59
"Tuunikala tükid õlis, ELDORADO, 185 g",3.29,17.78
"Pesemissvamm, CASATREND, 1 tk",0.79,0.79
"Suitsuandur optiline, TAMREX, 1 tk",11.99,11.99
"Gaseeritud vesi, SAAREMAA, 1,5 L",0.65,0.43
"WC-puhastusvahend Pine Fresh, DOMESTOS, 750 ml",2.99,3.99
"Nõudepesusvammid, SELVER, 10 tk",0.69,0.07
"Sidrunimaitseline joogivesi, SAAREMAA, 1,5 l",0.59,0.39
"Kookoskreem 17%, KARA, 1l",4.99,4.99
"Mustasõstra kontsentreeritud mahlajook, KÜLLUS, 330 ml",3.99,12.09
"Vahuvein alkoholivaba, BARTON & GUESTIER, 75 cl",6.49,8.65
"Mustikas karbis, 500 g",5.99,11.98
"Rapsiõli Olivia, OLIVIA, 500 ml",2.29,4.58
"Hirveliha sink Eesti Uluk, RANNAROOTSI, 100 g",2.49,24.9
Tegevuskaardid Alati huvitavad 56 nupuülesannet reisi ajal,10.99,10.99
"Sinepiplaaster 10 tk, KAIGERT, pakk",1.19,1.19
"Pipraplaaster, KAIGERT, 1 tk",0.79,0.79
"Sinepipulber vannideks, KAIGERT, 230 g",2.49,10.83
"Hambapasta Max Protect White, COLGATE, 75 ml",1.99,26.53
"Toasty Hamburger viilud, ZOTT, 120 g",1.69,14.08
"Sefiiritort, PIHLAKA, 850 g",10.99,12.93
"Soolane Snäkk, MARTA PAGAR, 50 g",1.29,25.8
"Hambapasta ProNamel, SENSODYNE, 75 ml",6.49,86.53
"Hambapasta ProNamel Kids, SENSODYNE, 50 ml",2.99,59.8
"Kookosjook, SANTA MARIA, 250 ml",2.09,8.36
"Dushigeel Cream&Oil Cacao Butter, FA, 250 ml",3.29,13.16
"Tofu kroket ürtidega, BON VEGAN, 200 g",2.59,12.95
"Ninatilgad pihustiga, VIPIS, 10 ml",4.49,449.0
"Rakvere pihvid, RAKVERE LK, 400 g",3.59,8.98
"Suuloputusvesi Coolmint, LISTERINE, 500 ml",5.59,11.18
"Kevadrullid kanafileega, DALOON, 600 g",5.99,9.98
"Maahärra seenesegu, MAAHÄRRA, 400 g",2.69,6.73
"Tualettvesi Dragon, meestele, LAZELL, 100 ml",10.99,109.9
"Tualettvesi Feromo, meestele, LAZELL, 100 ml",10.99,109.9
"Pistaatsiapähkel, GERMUND, 200 g",3.69,18.45
"Kuivšampoon Light & Blonde, BATISTE, 200 ml",5.49,27.45
"Seltskonnamäng Twister, HASBRO, 1 tk",33.9,33.9
"Leivasegu, GERMUND, 100 g",1.09,10.9
"Köömneliköör KRISTALLKÜMMEL, 50 cl",22.9,45.8
"Kassiliiv kvartsteemandid, DR.STERN, 6 l",11.99,2.0
"Šokolaadi-koorejäätis šokolaadi küpsise & maapähklikreemiga, PREMIA, 300 g",3.59,11.97
"Õhuvärskendaja Difuuser Fresh Air, AIR WICK, 30 ml",4.99,99.8
"Kuivšampoon Original, BATISTE, 50 ml",2.99,59.8
"Ringvalgusti PMRL8 Vlog LED Desktop 8"", PLATINET, 1 tk",16.99,16.99
"Magvit Plus tabletid N42, MAGVIT PLUS, 63,4 g",16.99,267.98
"Ninasprei Stop Virus, HUMER, 15 ml",9.99,666.0
"Tsinksalv, PAIRA, 23 g",2.99,130.0
"Täistoit steriliseeritud kassidele, PRIMACAT, 400 g",3.99,9.98
"Vitamiinijook Awake, VITAMIN WELL, 500 ml",1.99,3.98
"Pikateraline riis, RISELLA, 1 kg",2.69,2.69
"Anchovy klassikaline filee, BRIIS, 145 g",1.99,13.72
"Šampoon Apple, HEAD&SHOULDERS, 400 ml",7.99,19.97
"Näotoonik Pure sega ja rasusele nahale, GARNIER, 200 ml",6.49,32.45
"Pikateraline riis, BALTIX, 400 g",1.19,2.97
"Konjak PIERRE VALLET XXO karbis**,  70 cl (ETTETELLIMISEGA 2 PÄEVA)",175.0,250.0
"Konjak CHATEAU DE MONTIFAUD Majestic XO karbis**, 70 cl (ETTETELLIMISEGA 2 PÄEVA)",175.0,250.0
"AB Skyr mango-passion, FARMI, 1 kg",1.79,1.79
"Maasikad, MARJAMAA TALU, 350 g",2.99,8.54
"Vaarikad, MARJAMAA TALU, 300 g",4.99,16.63
Liköör DOLCE CILENTO Limoncello 70 cl,22.9,32.71
Liköör DOLCE CILENTO Watermeloncello 70 cl,22.9,32.71
"Marjasegu, MARJAMAA TALU, 350 g",3.99,11.4
"Jõhvikad, MARJAMAA TALU, 400 g",4.99,12.48
"Riisigaletid amaranti ja tatraga, RICEUP, 120 g",1.29,10.75
"Maasika toormoos, MARJAMAA TALU, 300 g",2.49,8.3
"Porgandimahl, KADARBIKU KÖÖGIVILI, 500 ml",1.79,3.58
"Porgandi-peedimahl, KADARBIKU KÖÖGIVILI, 330 ml",1.99,6.03
"Beebi vanni- ja dušigeel Sensitive Skin, NEUTRAL, 250 ml",3.99,15.96
"Õuna-arbuusimahlajook, DR. ACTIVE, 500 ml",0.99,1.98
"Kärjemesi, AARE JÕUMEES, 200 g",4.59,22.95
"Närimisrull 12cmx15mm, REX, 4 tk",2.19,0.55
"Kuivatatud mango, ECO FRESH, 100 g",3.49,34.9
"Kuivatatud ananass, ECO FRESH, 100 g",3.29,32.9
"Popcorn juustumaitseline, TEXAS, 60 g",0.75,12.5
"Riisivahvlid 7-vilja, SONKO,",0.99,7.62
"Mini riisigaletid piimašokolaadis, SONKO, 27g",0.69,25.56
"Mini riisigaletid jogurtikattega, SONKO, 27g",0.69,25.56
"Rukkivahvel, BALSNACK, 90 g",1.19,13.22
"Koeraeine veise, porgandi ja köögiviljadega 4*100g, CESAR, 4x100 g",2.99,7.48
"Pumpernikkel, REVAL KONDIITER, 165 g",1.69,10.24
"Mo Saaremaa või küüslaugu ja soolakristallidega, SAAREMAA, 150 g",2.59,17.27
"Toidulisand Visioon, TERVISEKS, 15 g",7.99,532.67
"Täisväästuslik toit vitam ja puuviljadega kanaarilindudele, RIGA PREMIUM, 800 g",3.89,4.86
"Küüslauguga poolsuitsuvorst, FRANK KUTTER, 350 g",3.59,10.26
"Viin MOE 1886 mahe, 70 cl",17.99,25.7
"Kohupiimadessert šokolaaditäidisega, JEPPI, 38 g",0.39,10.26
"Põldmari, 125 g",4.59,36.72
"BBQ kaste burbooni viski, SANTA MARIA, 370 g",4.99,13.49
"Mustsõstra mahl, TAARAPÕLLU TALU, 500 ml",5.49,10.98
"Pohla mahl, TAARAPÕLLU TALU, 500 ml",5.49,10.98
"Rabarberi mahl, TAARAPÕLLU TALU, 500 ml",5.49,10.98
"Nõudepesumasina loputusvahend, FINISH, 400 ml",3.99,9.98
"Vanilli-koorejäätis vahtrasiirupi&kreeka pähkli, PREMIA, 270 g",3.29,12.19
"Viinamarjaseemneõli sprei, MANTOVA, 200 ml",7.99,39.95
"Kookosõli sprei, MANTOVA, 200 ml",8.99,44.95
"Ekstra väärisoliiviõli basiilikuga sprei, MANTOVA, 200 ml",7.99,39.95
"HULGI Menestrello Prosecco 6-kast, 6 x 75cl",39.9,8.87
"Õhuvärskendaja Freshmatic Forest täide, AIR WICK, 250 ml",7.99,31.96
"Mix It Farina gluteenivaba jahu, SCHÄR, 500 g",2.79,5.58
"Pudipõlled, CANPOL, 3 tk",4.49,1.5
"Murelikompott MINU, 680 g",3.49,9.97
"Amarant, FIOR DI LOTO, 400 g",3.69,9.23
"Kikerherned, NATCO, 500 g",3.19,6.38
"Pudruriis (Ümarateraline riis), BALTIX, 1 kg",2.49,2.49
"Kreemjas soja joogipulber, MYSOJA, 200 g",2.29,11.45
"Kommikarp Moments Mix, MILKA, 97 g",3.19,32.89
"Täistera rukkisnäkid hapukoore ja sibulaga, FINN CRISP, 150 g",3.49,23.27
"Kimchi salat, DIMDINI, 450 g",3.99,8.87
"Mänguasi koerale Cleo 28x8x8cm, DOGMAN, 1 tk",8.99,8.99
"Moussaka kanaga Fitlap, SELVERI KÖÖK, 350 g",3.49,9.97
"Öö püksmähkmed VP S3, PAMPERS, 29tk",12.49,0.43
"Öö püksmähkmed VP S4, PAMPERS, 25tk",12.49,0.5
"Vahvlitort Moka, LAIMA, 350 g",2.59,7.4
"Šokolaadi- ja vanillijäätis brownie (8 %) ja küpsisetaigna tükkidega (10 %), BEN&JERRY´S, 406 g",7.99,19.68
"Hauaküünal 20h, POLAR, 1 tk",1.09,1.09
"Olümpia küpsis, PRIILEIB, 150 g",5.99,39.93
"Juustuküpsis, PRIILEIB, 120 g",5.99,49.92
"Jogurtileib, PRIILEIB, 250 g",5.29,21.16
"Mandariinimahl, AURA, 330 ml",0.79,2.39
"Veekeetja, inox, PHILIPS, 1 tk",34.9,34.9
"Konjak MEUKOW VS, 35 cl",17.49,49.97
"Foolium 30cmx20m, SERLA, 1 tk",6.99,0.35
"Värvilised friikartulid ""Fiesta"", FARM FRITES, 600 g",3.19,5.32
"Majapidamispaber XXL, SERLA, 1 rl",5.99,5.99
"Tualettpaber, 3-kihiline, LAMBI, 8 rl",5.69,0.71
"Majapidamispaber, SERLA, 4 rl",3.59,0.9
"Toonik Craft Rose Lemonade, ØRN, 1 L",1.49,1.49
"Durumnisujahupasta Alfabeto, TARTU MILL, 500 g",1.29,2.58
"Piiritusjook RIGA BLACK BALSAM , 50 cl",9.99,19.98
"Teraseläige, SC JOHNSON, 150 ml",4.39,29.27
"Puhastusvahend Kodin Putkimies, MR.MUSCLE, 1 l",4.19,4.19
"Vanillipuding, SELVERI KÖÖK, 150 g",0.69,4.6
"Lauamäng Tsirkus, TACTIC, 1 tk",8.49,8.49
"Mango-tsilli kaste, FELIX, 285 g",2.89,10.14
"Toonik Connoisseurs, FENTIMANS, 500 ml",3.39,6.78
"Jõhvikakissell kodune, MO SAAREMAA, 750 g",1.59,2.12
"Salvrätikud Box Ultra Soft, 3-kihiline, KLEENEX, 72 tk",1.69,0.02
"Tualettpaber Exclusive Natural Soft, 4-kihiline, ZEWA,",8.99,1.12
"Märkmepaber 76x51mm, M&G, 100tk/pk",0.49,0.49
"Kartulikrõps suitsupeekonimaitseline, ESTRELLA, 180 g",3.69,20.5
"Kartulikrõps soolaga, ESTRELLA, 130 g",2.69,20.69
"Vanillikohuke šokolaadiglasuuris, KARUMS, 45 g",0.45,10.0
"Glasuurkohuke kookose, KARUMS, 45 g",0.49,10.89
"Hambahari Step by Step Soft+reisvutlar, 6-9a., JORDAN, 1 tk",1.99,1.99
"Jogurtijook maasika, ACTIMEL, 4x100 g",2.29,5.73
"Jogurtijook metsamarja, ACTIMEL, 4x100 g",2.29,5.73
"Traditsiooniline Kali Originaal, TANHEISER, 1,5 L",1.79,1.19
"Kaerahelbeküpsised, FLORA, 300 g",3.39,11.3
"Hambahari Clean Between Medium, JORDAN, 1 tk",1.79,1.79
"Kaneelipulber, ANATOLS, 10 g",0.49,49.0
"Hambavahepuhasti 3in1, JORDAN, 36 tk",3.59,0.1
"Pesupulber Color, MINI RISK, 2,65 kg",11.99,4.52
"Köömned, ANATOLS, 30 g",0.45,15.0
"Sidrunihape, ANATOLS, 40 g",0.89,22.25
"Hügieenisidemed Goodnight Maxi, LIBRESSE, 10 tk",2.19,0.22
"FIT köögiviljasegu, MAAHÄRRA, 400 g",1.39,3.47
"Hügieenisidemed Invisible Ultra, LIBRESSE, 20 tk",3.39,0.17
"Jogurt maasika, ACTIVIA, 4x120 g",2.39,4.78
"Lõhnakuusk Black classic, WUNDER-BAUM, 1tk",1.29,1.29
"Hot dogi pitsa mozzarella ja cheddari juustuga, RANNAROOTSI, 531 g",5.99,11.28
"Puuviljapuder tatraga mahe 6+, HIPP, 100g",1.69,16.9
"Limon Summer Edition, NOCCO, 330 ml",2.39,7.24
"Vurtsvasser Rabarber-Vaarikas, VÄRSKA, 1 L",2.19,2.19
"Pruun roosuhkur, DAN SUKKER, 750 g",2.59,3.45
"Mineraalvesi Värska Mineraal, VÄRSKA MINERAAL, 1,5 L",1.39,0.93
"Mesi tuubis, HONEST NEKTAR, 300g",3.79,12.63
"Heeringafilee külmsuitsu roosakas, VICI, 240 g",2.89,12.04
"Krevetid soolvees 100 g neto, VICI, 200 g",5.29,52.9
"Rannakarbid soolvees 100 g neto, VICI, 200 g",2.59,25.9
"Surimist pulgad, VICI, 150 g",1.29,8.6
"Paneeritud Krevetid surimist MINI, VICI, 170 g",2.39,14.06
"Surimist pulgad, VICI, 300 g",3.39,11.3
"Maksikrevetid 31/40 (sabaga, keedetud), VICI, 240 g",7.99,33.29
"Heeringafilee traditsiooniline, VICI, 190 g",1.59,8.37
"Ice Cold Sparkling White, LUNA DE MURVIEDRO, 75 cl",6.99,9.32
"Kartulipannkoogid Rosti, külmutatud, AVIKO, 750 g",2.59,3.45
"Mandli-koorejäätis šokolaadikreemi ja india pähklitega, MAIUSPALA, 60 g",1.49,24.83
"Krevetid Maxi soolvees 100 g neto, VICI, 200 g",5.59,55.9
"Smuutisegu Heraklese vägi, HÄRMAVILI, 300 g",2.49,8.3
"Mereandide kokteil marineeritud, VICI, 500 g",8.19,16.38
"Pelmeenid veiselihaga Traditional style, VICI, 400 g",2.99,7.48
"Eesti Õiemesi, SELVER, 1 kg",8.49,8.49
"Rukki Seemnepala, FAZER, 300 g",1.69,5.63
"Imiku piimasegu Frisolac Gold Comfort 1 seedeprobleemide  0+, FRISOLAC, 400 g",12.99,32.48
"Jätkupiimasegu Gold Comfort 2, seedeprobleemidega  6+, FRISO, 400 g",12.99,32.48
"Krabinuudel surimi, VICI, 200 g",2.79,13.95
"Heeringafilee rasvane, VICI, 240 g",2.89,12.04
"Krabimaitselised pulgad surimist Lumekrabi, VICI, 250 g",4.19,16.76
"Triibulised päevalilleseemned röstitud, YES, 150 g",1.39,9.27
"Hommikusöök Chocapic, NESTLÉ, 450 g",2.99,6.64
"AB-jogurt banaani Laktoosivaba, TERE, 150 g",0.79,5.27
"Voolimismass valge 500g, DAS, 1tk",3.19,6.38
"Viltpliiats Turbo, GIOTTO, 12 tk",2.59,0.2
"Aedmuraka-mustika smuuti chia-seemnetega, PAI+, 280 ml",2.29,8.18
"Kiisueine lihaga kastmes, SHEBA, 4x85 g",2.89,8.5
"Rosin Kuldne, ARIMEX, 200 g",1.79,8.95
"Kookoskreem, PLANTON, 200 g",1.99,9.95
"Lillkapsariis, ARDO, 450 g",2.59,5.76
"Kaustik Nature Flowers A5, PIGNA, 42 lehte",0.99,0.99
"Premium pähklisegu, ARIMEX, 300 g",5.99,19.97
"Salativurr, HEIDRUN, 1 tk",9.99,9.99
"Aknapesija teleskoopvarrega, SAUBER, 1 tk",19.99,19.99
"Prügikühvel+hari, SAUBER,",4.49,4.49
"Murel, BIMAR, 300 g",2.49,8.3
"Patareid Max liitium CR2032, KODAK, 2 tk",1.19,0.6
"Puhastusrull, 24-kihti, SAUBER, 1 tk",1.49,1.49
"Roheline purutee Bouquet Green Freshness, BASILUR, 100 g",3.99,39.9
"Letsho Bulgarian, VERES, 530 g",2.79,5.58
"Padjad kakaomaitselise täidisega, START, 250 g",1.29,5.16
"Ümbrik trukiga A4, M&G 1tk",1.49,1.49
"Etikett vihikule, APLI, 5tk",1.29,0.26
"Mineraalvesi Värska Mineraal 6-pakk, VÄRSKA MINERAAL, 6 x 1,5 L",8.29,0.92
"Pistaatsiajäätis mandlikrokandiga, CLASSIC, 380 g",4.49,11.82
"Viin NEMIROFF Honey Pepper, 50 cl",8.99,17.98
"Viin NEMIROFF Delikat, 50 cl",12.99,25.98
"Brändi BELÕI AIST 3*, 50 cl",12.99,25.98
"Puhastusvahend nõudepesumasinale, FINISH, 250 ml",6.99,27.96
"Nõudepesumasina sool, FINISH, 1,5 kg",3.49,2.33
"Nõudepesumasina sool, FINISH, 4 kg",5.59,1.4
"4-poolega riiv, plastkäepide, TORO, 1 tk",5.99,5.99
"Kaerajook kaltsiumi ja vitamiinidega, magustamata, ALPRO, 1 l",3.09,3.09
"Vedelseep Olive Milk, PALMOLIVE, 300 ml",2.99,9.97
"Tükiseep Naturals Olive Milk, PALMOLIVE, 90 g",0.79,8.78
"Tükiseep Naturals Green Tea, PALMOLIVE, 90 g",0.79,8.78
"Lõhnaküünal Lino blanco, ARTMAN CANDLES, 1 tk",8.49,8.49
"Mangosorbett, SMUUTIKE, 55 g",0.79,14.36
"Tükiseep Naturals Black Orchid, PALMOLIVE, 90 g",0.79,8.78
"Piiritusjook MARQUIS DE LEON, 20 cl",3.99,19.95
"Katlakivieemaldaja, SELVER, 500 ml",1.19,2.38
"Puhastusvahend vannitoale, SELVER, 750 ml",1.59,2.12
"Sojakaste, HEINZ, 150 ml",2.59,17.27
"Worcester kaste, HEINZ, 150 ml",2.59,17.27
"Süütekuubikud, FIRE-UP, 72 tk",4.99,0.07
"Dražeed Fruits, SKITTLES, 38 g",0.79,20.79
"Palsam Anti Frizz, DOVE, 200 ml",3.99,19.95
"Soolakaramellijäätis karamellikastmega, MAGNUM, 74 g",1.79,24.19
"Hambahari Max White Soft, COLGATE, 1 tk",2.79,2.79
"Šokolaad, SNICKERS, 50 g",0.59,11.8
"Võileivaküpsis, CARR`S, 125 g",1.69,13.52
"Juustukook, PAGARINI, 850 g",15.99,18.81
"Metspohlamoos, KÜLLUS, 400 g",4.99,12.48
"Vürtsikas kanasalat päikesekuivatatud tomatiga Fitlap, SELVERI KÖÖK, 310 g",4.39,14.16
"Maisipallid kahes šokolaadis Mesikäpp, KALEV, 90 g",1.59,17.67
"LED lamp küünal B35 6,5W E14 620lm, PHILIPS, 1 tk",2.99,2.99
"Džinn TANQUERAY No Ten, 70 cl",30.9,44.14
"Näopuhastusvaht Hyaluronic Aloe, GARNIER, 150 ml",7.99,53.27
"Deodorant Clean Comfort, DOVE MEN, 150 ml",2.99,19.93
"Bambusest vatitikud topsis, NORMAL CLINIC, 200 tk",1.79,0.01
"Jätkupiimasegu 2 Organic Combiotic 6+, HIPP, 800 g",16.99,21.24
"Pastapliiats Joy, CELLO, 1tk",0.35,0.35
"Tee Yellow Label, LIPTON, 200 g",3.99,19.95
"Lumelabidas Solid, FISKARS, 1tk",34.9,34.9
"Pirn Conference, kg",1.29,1.29
"Minikasvuhoone turbasambla tablettidega, BIOLAN, 12 tk",5.99,0.5
"Turbasamblatabletid täitepakend, BIOLAN, 12 tk",3.79,0.32
Krüsanteem potis,5.99,5.99
"Õlu Ginger Joe, STONE´S,  330 ml pudel",2.29,6.94
"Õun Kanzi, kg",2.99,2.99
"Punane kaaviar jahutatud (vikerforellimari), Kalatalu Härjanurmes, kg",99.9,99.9
"Eestimaine broilerikoib, TALLEGG, kg",4.39,4.39
"Viski GRANT`s Triple Wood, 50 cl",15.99,31.98
"Viski GRANT`s Triple Wood, 70 cl",13.99,19.99
"Närimispulk Dentastix 7-pakk, PEDIGREE, 180 g",2.29,12.72
"Bataat, kg",3.99,3.99
"Püsivärv Professional 5-8, SYOSS, 1 tk",7.49,7.49
Lõhefilee jahutatud ctrim,17.99,17.99
"Kohafilee nahaga, jahutatud, kg",37.9,37.9
"Külmsuitsu heeringafilee, Kõrveküla Kalatööstus, kg",8.99,8.99
"Paneeritud kalafileepalad, ESVA, 285 g",2.79,9.79
"Long drink Breezer Lime, BACARDI,  275 ml",1.99,7.24
"Long Drink Breezer Watermelon, BACARDI, 275 ml",1.99,7.24
"Kuumsuitsu lõhe/forelliribid, M.V.WOOL, kg",4.59,4.59
"Dušigeel Men Sport Dp Power, FA MEN, 250 ml",3.29,13.16
"Piiritusjook BACARDI Oakheart Spiced, 100 cl",17.99,17.99
"Laadasalat, SELVERI KÖÖK, 700 g",3.29,4.7
"Püsivärv Color 13-0 ultra, SYOSS, 1 tk",7.49,7.49
"Juust, SAIDA FARM, kg",11.59,11.59
"Viski BUSHMILLS original, 70 cl",17.99,25.7
"Mahe kanamuna M, KIKERIKII ÖKOMUNA, 10 tk",4.29,0.43
"Puuvilja jogurtijook, ACTIMEL, 4x100 g",2.29,5.73
"Liköör BAILEYS Irish Cream, 50 cl",15.99,31.98
"Peet, kg",0.69,0.69
"Džinn HOGARTH, 70 cl",11.99,17.13
"Meresoolahelbed, MALDON GOURMET, 250 g",4.79,19.16
"Laim, kg",5.99,5.99
"Suitsutatud kana kintsuliha, TALLEGG, kg",11.99,11.99
"Mustjuur, kg",6.99,6.99
"Juust Oltermanni, VALIO, 500 g",6.99,13.98
"Kompvekid, MARIANNE, 220 g",3.29,14.95
"Nisujahu, SUNNUNTAI, 2 kg",2.99,1.5
"Kapslid juustele N56, LOODUSTOODE, 80 g",14.99,187.38
Eesti Päevalehe nädalalõpuleht LP,2.19,2.19
"Siider Vintage, HENRY WESTONS, 500 ml pudel",4.29,8.58
"Patareid Everyday Power AAA, PANASONIC, 6+2 tk",3.99,0.5
"Silmameigieemaldaja Express 2in1, GARNIER, 125 ml",6.49,51.92
"Närimiskumm Eucalyptus suhkruvaba, ORBIT, 14 g",0.65,46.43
"Närimiskumm Sweet Mint suhkruvaba, ORBIT, 14 g",0.65,46.43
"Liköör COINTREAU, 50 cl",20.9,41.8
"Viin FINLANDIA, 70 cl",18.99,27.13
"Lehträtikud, 2-kihiline, SERLA, 135 tk",2.59,0.02
"Rapsiõli, OLEINA, 2 l",6.99,3.5
"Puuviljapüree Punane mahe, ELLA'S KITCHEN, 90 g",1.69,18.78
"Puuviljapüree Kollane mahe, ELLA'S KITCHEN, 90 g",1.29,14.33
"Mini Farfalle lipsuke, PANZANI, 500 g",2.19,4.38
"Astelpajuõli, TERVIX, 150 ml",7.99,53.27
"Pipra Naps meega, LIVIKO, 50 cl",7.69,15.38
"Specialita Penne Rigate, PANZANI, 500 g",2.09,4.18
"Suuvesi Coolmint mild taste, LISTERINE, 500 ml",3.99,7.98
"Suuvesi Cool Mint, COLGATE, 500 ml",6.49,12.98
"Vedelseep Naturals Almond täitepakend, PALMOLIVE, 500 ml",2.79,5.58
"Vedelseep Naturals Milk&Honey täitepakend, PALMOLIVE, 500 ml",3.49,6.98
"Energiajook Energy, MONSTER, 500 ml",1.59,3.18
"Risotoriis Arborio, RISO SCOTTI, 500 g",2.49,4.98
"Pastakaste Originale, PANZANI, 400 g",3.19,7.98
"Kondoomid Performax Intense, DUREX, 3 tk",5.59,1.86
"Roheline seep, MAYERI, 500 ml",1.69,3.38
"Hambaniit, SENSODYNE, 30 m",3.79,3.79
"Rohelised oliivid mandlitega, GOURMANTE, 360 g",3.99,19.0
"Peekonilõigud, SELVER, kg",9.59,9.59
"Palsamikreem, GOURMANTE, 250 ml",3.99,15.96
"Seapraad Rakvere, RAKVERE LK, kg",6.99,6.99
"Röst. pun. maguspiprad, GOURMANTE, 450 g",4.29,11.92
"Valge veiniäädika kaste, GOURMANTE, 250 ml",3.99,15.96
"Palsamiäädikas, GOURMANTE, 250 ml",2.59,10.36
"Ripsmeseerum Advance Volumiere, EVELINE COSMETICS, 10 ml",3.99,3.99
"Spagett täisterajahust, MELISSA, 500 g",1.49,2.98
"Herned, BONDUELLE, 212 ml",1.19,9.15
"Sheiker, FAST, 1tk",6.99,6.99
"Mitmeviljakukkel, SELVERI PAGARID, ca 35 g",0.15,4.29
"Universaalõli, WD-40, 100 ml",4.49,44.9
"Sarvesai vanilje ja murelitäidisega, 7DAYS, 60 g",0.85,14.17
"Sarvesai kakao, vaniljetäidis., 7DAYS, 60 g",0.69,11.5
"Täitepliiats Blackpeps automatic 0,5 + terad, MAPED, 1kmpl",1.69,1.69
